location,date,hour,long,lat,hourly_lceq_avg
Calveriekapel,2022-01-15,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-15,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-15,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-15,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-15,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-15,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-15,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-15,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-15,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-15,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-15,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-15,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-15,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-15,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-15,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-15,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-15,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-15,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-15,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-15,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-15,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-16,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-16,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-16,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-16,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-16,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-16,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-16,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-16,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-16,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-16,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-16,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-16,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-16,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-16,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-16,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-16,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-16,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-16,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-16,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-16,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-16,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-16,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-16,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-16,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-17,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-17,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-17,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-17,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-17,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-17,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-17,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-17,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-17,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-17,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-17,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-17,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-17,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-17,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-17,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-17,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-17,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-17,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-17,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-17,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-17,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-17,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-17,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-17,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-18,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-18,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-18,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-18,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-18,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-18,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-18,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-18,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-18,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-18,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-18,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-18,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-18,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-18,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-18,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-18,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-18,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-18,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-18,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-18,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-18,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-18,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-18,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-18,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-19,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-19,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-19,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-19,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-19,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-19,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-19,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-19,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-19,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-19,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-19,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-19,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-19,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-19,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-19,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-19,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-19,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-19,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-19,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-19,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-19,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-19,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-19,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-19,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-20,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-20,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-20,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-20,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-20,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-20,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-20,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-20,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-20,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-20,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-20,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-20,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-20,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-20,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-20,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-20,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-20,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-20,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-20,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-20,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-20,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-20,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-20,22,4.6999168,50.8745267,57.73448915035374
