location,date,hour,long,lat,hourly_lamax_avg
Calveriekapel,2022-01-15,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-15,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-15,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-15,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-15,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-15,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-15,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-15,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-15,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-15,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-15,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-15,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-15,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-15,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-15,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-15,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-15,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-15,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-15,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-15,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-15,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-16,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-16,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-16,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-16,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-16,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-16,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-16,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-16,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-16,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-16,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-16,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-16,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-16,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-16,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-16,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-16,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-16,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-16,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-16,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-16,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-16,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-16,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-16,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-16,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-17,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-17,1,4.6999168,50.8745267,41.325688622484016
