location,date,hour,long,lat,hourly_lcpeak_avg
Calveriekapel,2022-01-16,14,4.6999168,50.8745267,74.69254455481048
Calveriekapel,2022-01-16,15,4.6999168,50.8745267,74.99897699482423
Calveriekapel,2022-01-16,16,4.6999168,50.8745267,74.13506358757158
Calveriekapel,2022-01-16,17,4.6999168,50.8745267,74.62726556882002
Calveriekapel,2022-01-16,18,4.6999168,50.8745267,75.10732404841539
Calveriekapel,2022-01-16,19,4.6999168,50.8745267,74.31970790116266
Calveriekapel,2022-01-16,20,4.6999168,50.8745267,73.38050797299174
Calveriekapel,2022-01-16,21,4.6999168,50.8745267,71.81535304409383
Calveriekapel,2022-01-16,22,4.6999168,50.8745267,70.1089647022452
Calveriekapel,2022-01-16,23,4.6999168,50.8745267,67.63160150210841
Calveriekapel,2022-01-17,0,4.6999168,50.8745267,64.95960209967828
Calveriekapel,2022-01-17,1,4.6999168,50.8745267,63.281144572326816
Calveriekapel,2022-01-17,2,4.6999168,50.8745267,62.505081082668184
Calveriekapel,2022-01-17,3,4.6999168,50.8745267,62.20069454513425
Calveriekapel,2022-01-17,4,4.6999168,50.8745267,62.323329027274966
Calveriekapel,2022-01-17,5,4.6999168,50.8745267,63.763744043290316
Calveriekapel,2022-01-17,6,4.6999168,50.8745267,68.36492915185488
Calveriekapel,2022-01-17,7,4.6999168,50.8745267,72.17035487469963
Calveriekapel,2022-01-17,8,4.6999168,50.8745267,73.53619859741843
Calveriekapel,2022-01-17,9,4.6999168,50.8745267,73.76136208115305
Calveriekapel,2022-01-17,10,4.6999168,50.8745267,74.35365651451232
Calveriekapel,2022-01-17,11,4.6999168,50.8745267,74.9139574388313
Calveriekapel,2022-01-17,12,4.6999168,50.8745267,74.87879236283318
Calveriekapel,2022-01-17,13,4.6999168,50.8745267,74.70213945630127
Calveriekapel,2022-01-17,14,4.6999168,50.8745267,74.69254455481048
Calveriekapel,2022-01-17,15,4.6999168,50.8745267,74.99897699482423
Calveriekapel,2022-01-17,16,4.6999168,50.8745267,74.13506358757158
Calveriekapel,2022-01-17,17,4.6999168,50.8745267,74.62726556882002
Calveriekapel,2022-01-17,18,4.6999168,50.8745267,75.10732404841539
Calveriekapel,2022-01-17,19,4.6999168,50.8745267,74.31970790116266
Calveriekapel,2022-01-17,20,4.6999168,50.8745267,73.38050797299174
Calveriekapel,2022-01-17,21,4.6999168,50.8745267,71.81535304409383
Calveriekapel,2022-01-17,22,4.6999168,50.8745267,70.1089647022452
Calveriekapel,2022-01-17,23,4.6999168,50.8745267,67.63160150210841
Calveriekapel,2022-01-18,0,4.6999168,50.8745267,64.95960209967828
Calveriekapel,2022-01-18,1,4.6999168,50.8745267,63.281144572326816
Calveriekapel,2022-01-18,2,4.6999168,50.8745267,62.505081082668184
Calveriekapel,2022-01-18,3,4.6999168,50.8745267,62.20069454513425
Calveriekapel,2022-01-18,4,4.6999168,50.8745267,62.323329027274966
Calveriekapel,2022-01-18,5,4.6999168,50.8745267,63.763744043290316
Calveriekapel,2022-01-18,6,4.6999168,50.8745267,68.36492915185488
Calveriekapel,2022-01-18,7,4.6999168,50.8745267,72.17035487469963
Calveriekapel,2022-01-18,8,4.6999168,50.8745267,73.53619859741843
